x;y;groupe;;;;;;;;;
414190.195;6640167.55;1;;;;;;;;;
420121.905;6642240.88;8;;;;;;;;;
427384.134;6578982.51;10;;;;;;;;;
426313.196;6647633.2;13;;;;;;;;;
446073.222;6613891.48;4;;;;;;;;;
447127.79;6633010.27;5;;;;;;;;;
436596.246;6571805.78;9;;;;;;;;;
414906.779;6660055.37;10;;;;;;;;;
414906.779;6660055.37;8;;;;;;;;;
422000.085;6648474.76;1;;;;;;;;;
461041.892;6641725.99;13;;;;;;;;;
454361.372;6613571.24;13;;;;;;;;;
447127.79;6633010.27;5;;;;;;;;;
432160.361;6570459.14;2;;;;;;;;;
461430.294;6567727.94;6;;;;;;;;;
419036.952;6572290.94;13;;;;;;;;;
432160.361;6570459.14;9;;;;;;;;;
441830.802;6585085.42;4;;;;;;;;;
454653.8;6648629;11;;;;;;;;;
427880.093;6611991.21;4;;;;;;;;;
415094.419;6656385.07;1;;;;;;;;;
522758.71;6621657.9;2;;;;;;;;;
504674.082;6624962.28;11;;;;;;;;;
504674.082;6624962.28;12;;;;;;;;;
500501.263;6563322.5;15;;;;;;;;;
516309.918;6615442.57;13;;;;;;;;;
536901.08;6601011.08;15;;;;;;;;;
482790.109;6632551.74;1;;;;;;;;;
522294.147;6577738.77;4;;;;;;;;;
556116.041;6594837.51;6;;;;;;;;;
556116.041;6594837.51;6;;;;;;;;;
505656.61;6611334.39;3;;;;;;;;;
474070.45;6620228.4;10;;;;;;;;;
525517.342;6584859.81;3;;;;;;;;;
553236.673;6589228.61;15;;;;;;;;;
517080.45;6619484.36;3;;;;;;;;;
488442.774;6571154.12;8;;;;;;;;;
524934.204;6631869.56;4;;;;;;;;;
520511.235;6588091.64;5;;;;;;;;;
478123.162;6641781.85;3;;;;;;;;;
522758.71;6621657.9;10;;;;;;;;;
491692.182;6563717.12;3;;;;;;;;;
513987.682;6622811.29;3;;;;;;;;;
513987.682;6622811.29;6;;;;;;;;;
546162.735;6676627.65;1;;;;;;;;;
522365.757;6654734.43;4;;;;;;;;;
554910.7;6546825.01;4;;;;;;;;;
551029.425;6569072.37;4;;;;;;;;;
584160.418;6554021.4;11;;;;;;;;;
529497.968;6517371.23;10;;;;;;;;;
570746.467;6535597.92;3;;;;;;;;;
558767.449;6510001.64;8;;;;;;;;;
545169.84;6567588.72;4;;;;;;;;;
617788.235;6194659.11;1;;;;;;;;;
623114.732;6201505.83;1;;;;;;;;;
641613.87;6225311.26;14;;;;;;;;;
622494.445;6249163.73;1;;;;;;;;;
628681.291;6245638.1;2;;;;;;;;;
613725.644;6193027.34;1;;;;;;;;;
612170.797;6252779.45;1;;;;;;;;;
606362.31;6256380.72;15;;;;;;;;;
605152.231;6242490.95;4;;;;;;;;;
660188.894;6241442.65;1;;;;;;;;;
692476.411;6307700.35;1;;;;;;;;;
643639.389;6367451.3;8;;;;;;;;;
711143.929;6317996.39;4;;;;;;;;;
685446.114;6299935.28;8;;;;;;;;;
709375.368;6333186.64;10;;;;;;;;;
694846.296;6311206.71;1;;;;;;;;;
662205.97;6371750.72;1;;;;;;;;;
709375.368;6333186.64;11;;;;;;;;;
673403.14;6343586.77;4;;;;;;;;;
671077.933;6349012.98;4;;;;;;;;;
644812.142;6355138.21;1;;;;;;;;;
677201.464;6333172.09;8;;;;;;;;;
693765.42;6370536.4;1;;;;;;;;;
677201.464;6333172.09;8;;;;;;;;;
619181.449;6352348.11;4;;;;;;;;;
709375.368;6333186.64;1;;;;;;;;;
661934.505;6379594.93;4;;;;;;;;;
687534.083;6354616.45;4;;;;;;;;;
687534.083;6354616.45;4;;;;;;;;;
674041.212;6337412.88;8;;;;;;;;;
670389.142;6320132.74;4;;;;;;;;;
709375.368;6333186.64;1;;;;;;;;;
704073.23;6346425.67;11;;;;;;;;;
694216.792;6337943.19;4;;;;;;;;;
658295.965;6362570.9;1;;;;;;;;;
631706.036;6360325.09;4;;;;;;;;;
